mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
bãongo;2;Nom;;déshonneur, opprobre;dishonour, reproach;;;;;
baoo;;Adjectif;à;gros, volumineux, imposant;thick, bulky, great, majestic.;;;;;
baoobã biisã;;expression;;Résultats de la recherche;Search results;;;computer / digital;;
baoobo;;Nom;á-ó;chercher (action de), recherche;looking for, seeking, search, research, quest.;;;;;
baooda;1;Nom;áo;chercheur;seeker, researcher, research worker;;baoodba;Worker;;
baooge;1;Verbe;á-è;bouillir;boil.;;;;;
baooge;2;Verbe;á-è;être dans l'incertitude totale, devenir dubitatif;be very uncertain, become doubting.;;;;;
baooge;3;Verbe;á-è;prélever en grande quantité et d'un coup;take away a great quantity and in one go.;;;;;
bãoogo;;Nom;à-ó;bas-fond, endroit marécageux, marigot, lac;marshy / swampy place, water place, pond, bottom land, lake;;bãto;Water;bãka1, bãg-faanga;
baoole;;Verbe;;uriner;to urinate;;;;rʋʋde;
bãoonego;1;Nom;à-ó;monnaie (pièce ou petite coupure);pieces of money, change;;;Money;;
bãoonego;2;Adjectif;ã̀-ó;petits, jeunes;little ones, young ones, small ones, youth;bãoonese;;;;
baoongo;;Nom;;monnaie;change, money coins;bõonego;;Money;;
baoore;;Nom;à-é;grenier fait d'argile /banco;grain-store made of clay / adobe, granary;;baoa;Building;;
baoose;;Verbe;à;chercher à savoir, demander;wanting to know, to ask, try to find out.;;;;;
baoosem;;Nom;à-é;recherche (scientifique), consultation;search, quest, consultation.;baoosgo;;;;
baoosgo;1;Nom;á-ó;achever (le fait d'), fin, bout, conclusion;finishing, end, conclusion;;;;;
baoosgo;2;Adverbe;á-ó;cependant, malgré tout;however, even so, yet, in spite of;;;;;
baorgo;;Nom;à-ó;cor (instrument de musique);"corne de bœuf ou de buffle; horn (for music)";;bardo;Musical instrument;;
bã-piuugdum;;Nom;;épidémie;epidemic;;;Disease;;
bara;;Adverbe;à;en désordre;untidy.;;;;;
baraare;;Adverbe;à-á-é;ce jour-là;at that day;;;;;
baraase;;Nom;;barrage;dam;;;Water;;
barase;;Nom;;espèce de plante;kind of plant;barka-wili;;Grass, herb, vine;;
barb-kẽnda;;Nom;à-ɛ́-á;varicelle;chickenpox, varicella;;;Disease;tarmangãse;
bare;1;Nom;à-é;soucis, souffrance, misère;anxiety suffering, misery.;;;;;
bare;2;Nom;á-è;jeu de pierres;game with stones.;;;;;
bare;3;Verbe;á;tomber, se détacher fragment par fragment;fall, detach bit by bit.;;;;;
bare;4;Verbe;á;laisser tomber, se fatiguer;let fall, get tired.;;;;;
barga;;Nom;à-á;lame de rasoir, lamelle;razor blade, blade.;;barse;;;
bargande;;Nom;;espèce d'arbre;kind of tree;pargande;;Tree;;
barge;;Verbe;á-è;s'éparpiller;scatter.;;;;;
barika;;Nom;;barrique, tonneau;barrel;;;Container;birkɛ1;
barka;1;Nom;á-à;bénédiction, grâce;blessing, grace;;;;;
barka;2;interj;á-à;merci;thank you, thanks;;;;;
barka pʋʋsgo;;Nom;;gratitude, remerciement;gratitude, thanksgiving.;;;;;
barka-wili;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
barke;;Verbe;;bénir, donner de la valeur;to bless, to give value;;;;;
bar-pɛɛbda;;Nom;;joueur de cor;horn player;;;Musical instrument;;
barsda;;Nom;;marchandeur, marchandeuse;bargainer.;;barsdba;;;
barse;;Verbe;á-è;négocier un prix pour le baisser, marchander;negotiate for a lower price, haggle, bargain, discuss price, bid;;;;saage1;
barsgo;;Nom;;négociation d'un prix;bargaining, bidding.;;;;;
bas ne;;Verbe;;confier à quelqu'un;entrust to somebody, commit;;;;;
bas tɩ lʋɩ;;expression;;renoncer;to abandon, to give up, relinquish, renounce.;;;;;
bas yardo;;expression;;faire confiance;trust;;;;;
base;;Verbe;à;laisser, annuler, cesser;leave, cancel, cease, stop, abandon;;;;;
basgo;;Nom;;abandon, désertion;abandonment, desertion.;;;;;
basĩndi;;Nom;;bassine;bowl;;;Container;;
basɩ;;Nom;à-ɩ́;couscous;couscous;;;Food;lokiri;
