mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
seb-karemdga;;Nom;;livre;book;;;Teach;sebre;
seb-kaseng sẽn naag ne saag koom;;expression;;tornade, vent violent accompagné de fortes pluies;tornado;;;Weather;sa-kẽenga;
seb-mita;;Nom;;lettré, personne académique, intellectuel, savant, alphabétisé;person who can read, academic person, intellectual, scholar, literate person;;seb-mitba;;yam tʋntʋmda;
seb-pɛmdga;;Nom;;panneau vent latéral;side winds sign;;;7;;
seb-pidisdga;;Nom;;formulaire;form, printed form to fill out;;;;seb-pidsdim;
seb-pidsdim;;Nom;é-í;formulaire;form, printed form;;;;seb-pidisdga;
sebr buka;;Nom;é ú-à;sommaire;directory, abstract, summary;;;;seb-vã-nense;
sebr zɩɩlem;;Nom;;analphabétisme;illiteracy, unable to read.;;;;;
sebr zõanga;;Nom;;analphabète;illiterate;;;Teach;ka-mi-sebre;
sebr zug maan-n-bãngre;;expression;;exercice écrit;written exercise;;;;;noor yelsem maan-n-bãngre
seb-raoogo;;Nom;;tempête;storm, gale;;;Weather, Sky;sob-kẽenga;
sebre;;Nom;é-è;livre, cahier, lettre (tout document écrit), papier;book, leaflet, letter (any written document), paper;;sɛba;;karasga, seb-karemdga;
sẽbre;;Adjectif;;tendre (gousse), jeune;tender (pod), soft, young.;;sẽba, sɛba;;;
sebre-gʋlsedga;;Nom;;une feuille de papier;a sheet of paper.;;;;;
sebrsõngo;;Nom;;bible;Bible;;;;Wẽnnaam goama;
seb-tika;;Nom;é-í-à;document de référence;reference document.;;;;;
seb-vã-nenga;;Nom;;page;page.;seb-vão-nenga;seb-vã-nemse;;;
seb-vã-nense;;Nom;;sommaire;directory, abstract, summary;;;;sebr buka;
seb-vãoogo;;Nom;é-ò;feuille de papier, papier;peace of paper.;;seb-vãado;;;
sede;;Verbe;é;conspirer, s'entendre pour, convenir de,;conspire, agree on a plan;;;;kaoole1;
sẽde;;Verbe;;bourrer, boucher en pressant;stuff, cram, fill to bursting, clog by pushing;;;;sĩdi;
sedge;;Verbe;è;couler au long de;trickle down , flow along;;;;;
sẽdge;;Verbe;è;rincer, nettoyer, frotter, astiquer;rinse, clean, scrub, rub sth;;sẽdse;;;
sedgo;;Nom;é-ò;pente;slope, hillside;;;;siugdgu;
sedre;;Nom;é-è;conspiration;conspiracy.;;;;;
sẽebo;1;Nom;;griller (fait de);roasting;;;;;
sẽebo;2;Nom;ẽ́;couture;sewing, dressmaking.;;;;;
sẽebo;3;Nom;;cigale;cicada;;;Insect;sẽoobgo, ka-sẽoobgo, karsẽebga, sẽoonego1;
sẽedo;;Nom;é;pet, gaz intestinal s'échappant par l'anus;a fart, intestinal gas getting out of the anus, anal wind.;;;;;
sẽega;1;Nom;;silure;mud-fish;;;Fish;gi-yoko;
sẽega;2;Adjectif;;brûlant;burning;;;;;
seele;;Verbe;;émincer;mince.;;;;;
seelgo;;Nom;;terre salée léchée par les animaux;salty ground that animals like to lick;;;Land;lɛlga;
seem;1;Nom;èé;amande de prune sauvage (noaba);kernel of wild plumb tree (noabre);;;;;
seem;2;Adverbe;é;comment;how;seenɩ;;;;
seemde;;Nom;;amande du prunier sauvage;wild plum almond;;seem;;;
sẽemde;;Nom;ẽ́;porc-épic;porcupine;;sẽema;Mammal;;
sẽene;;Verbe;;fixer, insérer, coincer;put in, set, attach firmly, fix into, slot in, insert sth., clamp;;;;;
sẽenego;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
seere;;Nom;é-è;aulacode, agouti;grass cutter, cane rat;;sɛya;Mammal;;
sẽere;;Nom;é-è;espèce de lèpre très foudroyante;kind of violent leper;;sẽya;Disease;;
se-gãnde;;Nom;è-á-è;ceinture en cuire dans laquelle on incruste du gris-gris au moment de sa fabrication;kind of leather belt in which one embeds charms / spells / magic.;sẽngãnde;se-gãna, sẽngãna;;;
segd ne (sẽn);;expression;;mérité;deserved.;;;;;
segdenga;;Nom;;le droit;right, law;;;Government;kõn-mongre, dʋrwa;
sẽgdge;;Verbe;è;(s') insérer;to put (sth;;;;;
sẽgdre;;Nom;;pagne de tous les jours que l'on porte pour les travaux;everyday clothes / apron that one wears for working;;sẽgda;Clothing;;
sege;;Verbe;é;rencontrer;meet, encounter;sɛge;;;;
sẽge;1;Verbe;è;être les uns contre les autres;be opposed, one against the other;;;;;
sẽge;2;Verbe;è;porter ou avoir autour de la hanche;wear around the hip;;;;;
sẽgemde;;Verbe;è;insérer, coincer entre;insert, slot in, stick, clamp, put in (between).;;;;;
sẽg-kũnga;;Nom;è-á;case peule;Fulani house / hut;;sẽg-kũinsi;Building;;
segle;;Verbe;é-è;prépare, apprêter, faire la cuisine;prepare, get ready, cook food.;sɛgle;;;;
seglgo;;Nom;;action de faire la cuisine;cooking food.;sɛglgo;;;;
seglse;;Nom;;préparatifs;preparations.;;;;;
sẽgme;;Verbe;è;coincer, serrer, être exigu ou rétréci;to insert, inter-penetrate, to line up, stuck, clamp, tighten, press firmly;;;;;
sẽgne;;Verbe;è;nouer autour de la hanche;to put on (around the waist), tighten around the hip;;;;;sẽke1
segre;;Nom;é-è;rencontre fortuite, coïncidence;random encounter, coincidence;;;;;
sẽka;1;Adjectif;ẽ̀-á;étroit, exigu;narrow, tiny, exiguous;;sẽgse;;;
sẽka;2;Nom;è-á;angle, coin, fond, intersection;angle, corner, ground, far end, bottom, intersection;;sẽgse;;;
seke;;Verbe;é-è;suffire, être assez;sufficient (to be), be enough, suffice;;;;;
sẽke;1;Verbe;è;enlever (ce qui est autour de la hanche), déshabiller;take away (what is around the hip), undress;;sẽgse;;;sẽgne
sẽke;2;Verbe;è;presser, insister;press, insist, to be urged;;;;pẽdge, rɩdge;
sẽke;3;Verbe;è;ajouter une pièce d'étoffe;add a piece of cloths.;;;;;
sẽke;4;Verbe;è;se faire remarquer, attirer l'attention;to attract the attention,;;;;;
sekirite;;Nom;;sécurité;security;;;computer / digital;;
sel tɩɩse;;expression;;reboiser;to reafforest, reforest, plant trees.;;;;;
selbo;;Nom;é;repiquage;transplanting, planting out;;;Agriculture;;
sele;;Verbe;è;planter, fixer, repiquer;plant, fix (to make firm), transplant;;;;;
selle;;Adjectif;é;verticale;vertical;;sɛla;;tĩidga;
sembe;;Verbe;è;se débrouiller, utiliser des astuces;get along, find one's feet, use clever tricks;;;;;
sembo;;numéral;é-ó;un, 1 (en comptant);one, 1 (in counting);se;;;yembo, ye1;
sẽme;;Verbe;è;aller de toute part, ne pas tenir en place;go in all directions, not hold in one location;;;;;
semende;;Nom;é-é-è;semaine;week;sɩmende;;;ra-yopoende;
se-moomde;;Nom;;hémorroïde;haemorrhoid;;;;koo-koo, sɛɛga2, zugtigi;
sẽm-sẽm;;Adverbe;;en cherchant ou fouillant de toute part;looking for or poking about everywhere;;;;;
sẽn;;Pronom;;(ce) qui, (ce) que, marque de la proposition relative;who, which, that, relative marker, subordinating particle;;;Grammar;;
sẽn ka to;;expression;;unique, seul;unique, only;;;;;
Sẽn looge;;expression;;reculer d'un pas;previous;;;computer / digital;;Sẽn pʋgde
sẽn mak n mag ne…;;expression;;comparé à, mesuré par rapport à;compared to.;;;;;
sẽn pa seke;;expression;;déficit;deficit.;;;;;
sẽn pa wẽnd taaba;;expression;;anomalie, différence par rapport à la normale;anomaly;;;;sẽn paooge;
sẽn paame;;expression;;rendement;yield;;;;womb zeongo, paoongo1;
sẽn paooge;;expression;;anomalie, différence par rapport à la normale;anomaly;;;;sẽn pa wẽnd taaba;
sẽn paooge bilfu;;expression;;déficitaire, en dessous de la moyenne ou la normale, insuffisant;in deficit, insufficient .;;;;;
Sẽn pʋgde;;expression;;suivant;next;;;computer / digital;;Sẽn looge
sẽn tar n get sẽn zãre;;expression;;jumelles;binoculars.;;;;;
sẽn tar n wãad raado;;expression;;scie;saw;;;Tool;;
sẽn tar-b noorã/tõkre;;expression;;Droits d'auteur/contact;Copyright & Contact;;;computer / digital;;
sẽn tog n maan ne gũusgu;;expression;;délicat, difficile, risqué;tricky, difficult, risky.;;;;;
sẽn yõsge;;expression;;excédentaire;surplus .;;;;;
sẽn yʋʋge, sẽn yɩɩde senda;;Verbe;;repiquer;transplant;;;;;
sẽndika;;Nom;é;syndicat;trade-union, syndicate, labour-union;;;;kõndeeg-kɛgr sulli;
sẽndo;;Nom;;viande de chien;dog meat;;;Food;;
sẽnẽ;;postposition;ẽ̀-ẽ́;vers, en direction de;towards;sẽlẽ, sẽnega;;;kɛɛnga1, weoogo3, baobgo;
sẽnego;;Nom;;espèce d'arbre;kind of tree;sẽoogo;;Tree;sa-pãrga;
sẽnemde;;Nom;é-é;lézard à peau lisse et multi-coloré (espèce);kind of multicoloured lizard with shiny skin;;sẽnma;Reptile;;
sẽnesem;;Nom;è;lieu de couture;place of sewing;;;;;
Sẽn-Ka-Saabo;;Nom;;Éternel Dieu (lit;;;;;Sẽn-Ka-Sate;
Sẽn-Ka-Sate;;Nom;;Éternel Dieu (qui n'a pas de fin);Eternal God (who has no end);;;;Sẽn-Ka-Saabo;
Sẽn-Ka-To;;Nom;;Dieu-Unique (lit, qui n'a pas de semblable);Only God (lit;;;;;
sẽnnn;;Adverbe;è;très mince et filiforme;very thin and spindly;sẽn-sẽne;;;;
sẽnsem;;Nom;è;couture;sewing;;;;;
sẽn-sẽne;;Adverbe;;extra mince et filiforme;very thin, spindly;sẽnnn;;;yẽnnn1;
Sẽn-Tõe-Fãa;;Nom;;Dieu Tout-puissant (lit;;;;;;
sẽo;;Verbe;èo;tasser, bourrer;to pack things up, pack down, stuff, cram, fill to bursting;;;;sĩdi;
seobgo;;Nom;èo-ó;vent;wind.;sebgo;sebdo;;;
sẽobgo;;Nom;èo-ó;poquet;hole in the earth for sowing.;;sẽbdo;;;
sẽo-bila sẽn wat waoodã ne tʋʋlgã sʋka;;expression;;printemps, petite saison située entre la saison froide et la saison chaude;spring;;;Weather;;
sẽobsdo;;Nom;èo-ó;fil / fibre de la gousse de néré;thread / yarn / fibre taken from dawadawa pods;sẽnem, sẽebdo;;;;
seodgo;;Adjectif;èo-ó;en pente abrupte;with an abrupt slope;;sedse;;siugdgu;
sẽogfo;;Adjectif;èo-ó;exigu, très petit;tiny, very small;;;;;
sẽoko;1;Adjectif;èo-ó;exigu, étroit;tiny, narrow;sẽko;sẽgdo;;;
sẽoko;2;Nom;éo;hutte, cabane, abri;farm-hut, cabin, lodge, booth, shelter;;sẽgdo;Building;sũkunga;
sẽonego;;Nom;èo-ó;tubercule sauvage comestible;edible wild tuber;sẽoonego, sẽnsẽongo;sẽndo;Food, Grass, herb, vine;;
sẽoobgo;;Nom;;cigale;cicada;;;Insect;sẽebo3, ka-sẽoobgo, karsẽebga, sẽoonego1;
sẽoog kiuugu;;Nom;;juillet;July.;;;;;
sẽoog saabo;;expression;;fin de saison;end of season;;;Weather;;
sẽoog sasa;;expression;;saison pluvieuse;rainy season;;;Weather;sa-niir sasa, sẽoogo1;
sẽoogã kaoos n saame;;expression;;fin tardive de la saison;late end (to the season);;;Weather;;
sẽoogã kaoos n sɩngame;;expression;;installation tardive de la saison de pluies;late arrival of the rainy season;;;Weather;;
sẽoogã sɩngre;;expression;;début de saison, commencement de la saison;start of a season;;;Weather;;
sẽoogã tiig n saame;;expression;;fin précoce de la saison;early end (to the season);;;Weather;;
sẽoogã tiig n sɩngame;;expression;;installation précoce de la saison pluvieuse;early arrival of the rainy season;;;Weather;;
sẽoogo;1;Nom;ẽ́;saison des pluies, hivernage;rainy season;;sẽedo;Weather;sẽoog sasa, sa-niir sasa;"sɩpaolgo; synonyme: sẽoog sasa, sa-niir sasa"
sẽoogo;2;Nom;éo-ó;petit pagne pour porter l'enfant au dos;small cloths to carry a child on the back;sõogo;;Clothing;;
sẽoonego;1;Nom;ẽ́-ó;cigale;cicada;;sẽendo;Insect;ka-sẽoobgo, sẽebo3, karsẽebga, sẽoobgo;
sẽoonego;2;Nom;ẽ́-ò;arbuste (espèce) servant à soigner les angines;shrub sp;segue, kɛɛga, duanduanga;sẽendo;Bush, shrub;;
sẽoongo;;Nom;èo-ó;gris-gris pour détecter des mangeurs d'âme;magic object / charm to detect witches.;;sẽendo;;;
sẽoose;;Verbe;èo;émettre un bruit de succion par la bouche en signe de mépris;making a sucking noise of contempt with your mouth.;;;;;
sere;1;Verbe;é;traîner, racler;drag, trail, scrape, scratch;;;;;
sere;2;Verbe;è;suinter, dégouliner;drip off, dripping down, seep, ooze;;;;;
serẽngle;;Nom;;seringue;syringe.;;;;;
serge;;Verbe;é-è;déplacer, bouger une fois;dislodge, displace, shift one time, to move;;serse;;;
serom;;Nom;;sérum;serum;;;;;
se-rʋk kõbre;;Nom;;point de jonction entre la colonne vertébrale et l'os du bassin;spot where the backbone and the bone of the pelvis meet;;;Body;zãnkũngu;
sese;1;Verbe;è;boire avec excès;drink too much;;;;;
sese;2;Verbe;è;haleter;puff, pant, gasp for breath;;;;;
sesemde;;Verbe;è;prendre haleine, respirer un coup;take a deep respiration, take a deep breath.;;;;;
sẽsere;;Nom;;grand aulacode;greater can rat;sẽre;;Mammal;;
sẽsme;;Verbe;è;se refermer sans être guéri (plaie);close again without being healed (wound);;;;;
sẽta;;Nom;é;couturier, tailleur;tailor, dressmaker;;sẽtba;Worker;;
se-tɛɛga;;Nom;;soutien;support.;;;;;
sẽt-m-toore;;Nom;;machine à coudre;sewing machine.;;set-m-toaya;;;
sẽt-pʋʋre;;Nom;è-ʋ́-è;pelote, coussinet sur lequel on plante des aiguilles;ball, pincushion.;;sẽt-pʋya;;;
sɛ;;Verbe;ɛ̀;finir, achever;end, terminate;sa;;;;
sɛb koosg roogo;;Nom;;librairie;bookshop, book-store;;;Building;;
sɛb roogo;;Nom;;bibliothèque;library;;;Building;;
sɛɛbo;;Nom;ɛ́;la fin;the end;;;;;
sɛɛbo;1;Nom;;reins;loins, waist, lower back, lumbar region;;;Body;;
sɛɛbo;2;postposition;;postérieur, cul, anus, derrière;bottom, buttocks, behind, anus;;;Body;;
sɛɛbo;3;postposition;;maux de reins;pain in the back, low-back pain;;;Disease;;
sɛɛga;2;Nom;;hémorroïdes chez les enfants;haemorrhoid (children);;sɛɛse;Disease;zugtigi, se-moomde;
sɛɛga;3;postposition;ɛ́;à côté de, près de, au pied de;next to, close to, at;;seese;;;
sɛɛga;4;Nom;;arbuste (espèce);shrub sp;;;Bush, shrub;;
sɛg taaba;;expression;;avoir une réunion, rencontre;have a meeting.;;;;;
sɛgbo;;Nom;ɛ́-ò;action / fait de rencontrer, rencontre, croisement;encountering, coming across, crossing.;;;;;
sɛgde;;Verbe;ɛ́-è;convenir, être approprié;be suitable, fit together, to be appropriate, to be convenient;;;;toge2, zemse1;
sɛge;;Verbe;ɛ́;rencontrer;encounter, meet;sege;;;;
sɛgenda;;Nom;;cuisinier;cook;;;Worker;;
sɛgl roogo;;Nom;;cuisine;kitchen;rɩɩb roogo;;Building;;
sɛgle;;Verbe;ɛ́-è;préparer, apprêter, faire la cuisine;prepare, get ready, cook food, do the cooking, to prepare food;;;;;
sɛglgo;;Nom;ɛ́-ó;action de faire la cuisine, cuisine;cooking.;sɛoglgo;;;;
sɛgre;;Nom;ɛ́-è;rencontre fortuite;encountering by chance, random encounter.;;;;;
sɛg-yala;;Nom;;espèce de plante avec épines;kind of plant with thorns;;;Grass, herb, vine;sɩlg na-yẽega;
sɛk kẽesgo;;Nom;ɛ́ è-ó;versement par chèque;payment by check;;;Money;;
sɛka;1;Nom;ɛ́-à;rencontre, rendez-vous;encounter, meeting.;;segse;;;
sɛka;2;Nom;ɛ́-à;chèque;cheque, check;;;Money;;
sɛla;;Adverbe;ɛ́;droit comme un piquet;straight up;;;;;
sɛ-nifo;;Nom;;anus;anus, ass-hole;;;Body;lɩdga, yẽd-nifu, yẽdga, lɩd-nifu;
sɛnsɛnga;;Nom;ɛ̀-ɛ̀-á;brochette;kebab, skewer;;sensense, sensemse;Food;tui-raoogo;
sɛoglgo;;Nom;ɛ́o-ó;action de faire la cuisine;cooking, preparing food;sɛglgo;;Food;;
sɛsga;;Nom;ɛ́;le fait de haleter;puffing, panting, gasping for breath;;;;;
sĩ;2;Verbe;í;mettre en abondance en un seul endroit;put abundantly in one single place.;;;;;
sĩ;3;Nom;;maux des côtes;hurting of your ribs;;;Disease;;
sĩ gʋʋlgo;;Nom;;apiculture;bee-keeping, apiculture;;;Animal husbandry, Worker;;
sibdga;;Nom;;arbuste (espèce) dont les fruits en grappes ressemblent aux raisins;bush-grape tree, shrub sp whose fruits are grape-like;;sibdsi;Tree, Food, Bush, shrub;sãbga1;
sibi;;Nom;;raisins;grapes;;;Food;;
sĩb-paoko;;Nom;;zeste de raisin;grape zest;;;;;
sib-rãam;;Nom;;vin;wine;;;Food;reezẽ rãam;
sibri;1;Nom;í-ì;samedi;Saturday.;;;;;
sibri;2;Nom;ì-í;grain de raisin sauvage;kernel of wild grape tree.;;siba, sibi;;;
siddd;;Adverbe;ì;sensation de frisson parcourant tout le corps;feeling of quivering / shivering / thrilling / shuddering;;;;;
sĩdfu;;Adjectif;ì-ú;dur au toucher;hard in touching;;;;sĩdimdi;
sidgi;1;Verbe;í-ì;avoir ou provoquer des frissons, trembler;to have or to provoke shuddering, quivering, shivering, trembling.;;;;;
sidgi;2;Verbe;ì;s'inquiéter, geindre;worry, whine, lament;;;;;
sĩdi;;Verbe;ì;combler, boucher complètement;clog completely, fill in;;;;sẽo, sẽde;
sĩdimdi;;Adjectif;;dur au toucher;hard in touching;;;;sĩdfu;
sĩdlim;;Nom;;compacité;compactness;;;Grammar;;
sigdga;;Nom;ì-à;pente;hillside, slope;;sigdsi;Land;siugdgu;
sigi;1;Verbe;í;descendre, atterrir;get down, descend, come down, to land, go down;;;;"sãooge; antonyme: rʋ1";rʋ1
sigi;2;Verbe;ì;classer, disposer plusieurs choses, monter;to sort things out, put in order, rank, classify.;;;;;
siginda;;Nom;;animateur, enseignant, alphabétiseur;literacy teacher, organizer, leader, teacher, presenter, animator;;;Worker;;
sigli;;Verbe;ì;mettre en route, apprêter en disposant comme il faut;to set in motion, get going, get ready in setting up things correctly, get everything ready for.;;;;;
sigli gɛɛlga;;expression;;poser une opération;set up a math operation;;;Mathematics;;
sig-noore;;Nom;ì-ó-è;période juste avant les semailles, été;time period just before sowing, summer;;sig-noya;Weather;;
Sig-noy kiuugu;;Nom;;mois de mai;month of May.;;;;;
sigr kiuugu;;Nom;;juin;June.;;;;;
sigri;;Nom;í;commencement de la saison des pluies;beginning of the rainy season, early rains;;;Weather;;
sigsi;;Verbe;í-ì;faire descendre plusieurs choses;cause several things to get down.;;;;;
sig-to-wẽnga;;Nom;;panneau descente dangereuse;steep hill downwards;;;7;;
sĩifu;1;Nom;ĩ́-ú;abeille;bee;;sĩ;Insect;;
sĩifu;2;Nom;;côte, côtelette;rib, side, cutlet, chop;;sĩ;Body;;
siigi;;Verbe;í-ì;écrouler (s'), détruire, démolir, casser, tomber en ruine;to destroy, ruin, fall in ruins, tumbling down, destroy, knock down;;;;viigi;
siilfu;;Nom;ì-ú;sésame;sesame;sĩinfu;siili, sĩini;Food;sĩinfu;
siili;;Nom;;sésame;sesame;;;Food, Grass, herb, vine;;
sĩinfu;;Nom;ì-ú;grain de sésame;sesame grain;;sĩini;;siilfu;
sĩini;;Verbe;ì;faire couler en un mince filet;make flow in a thin stream;;;;;
sik menga;;expression;;se humilier, abaisser soi-même;humble oneself, demean oneself;;;;;
sik-gɩdgre;;Nom;;panneau stationnement interdit;no waiting;;;7;;
siki;;Verbe;í-ì;faire descendre une chose, décharger, abaisser, baisser, déposer;cause one thing to get down, unload, to lower, to put sth;;sigsi;;;
sikr zĩiga;;Nom;;dépôt;store, storehouse, warehouse, depot.;;;;;
sik-zĩiga;;Nom;;auberge, hôtel;inn, hostel, hotel.;;;;;
silfu;;Nom;í;vermine, parasite;worm, vermin, parasite;;sili;Small animals;;
silmi safãnde;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
silmiiga;;Nom;ì-í;peul;Fulani, Fulbe.;sĩnmiiga;silmiisi, sĩnmiisi;;;
silmiirindi;;Nom;ì-í-í;langue des peuls, fulfuldé;Fulfulde language.;;;;;
silmi-tab-rʋko;;Nom;;plante (espèce);plant sp;;silmi-tab-rʋgdo;Grass, herb, vine;;
sĩ-lolle;;Nom;í;essaim d'abeilles;swarm of bees.;sĩ-lelle;sĩ-loala;;;
sĩm-bila;;Nom;;petite cuve en terre cuite;small container made of clay;;sĩm-bi;Container;;
simo kud-ribla;;Nom;;fer à béton;concrete iron.;;;;;
sĩndgu;;Nom;;silence;silence.;;;;;
sĩndi;;Verbe;í-ì;se taire;say nothing, keep quiet, hush, to shut up, be silent, be quiet;;;;;
sĩndri;;Adjectif;í;timide, réservé, calme, qui parle peu, silencieux;timid, shy, coy, quiet, calm, who doesn't speak much, silent;;;;;
sĩnga;;Nom;í;grande cuve en terre cuite, jarre;big clay dish, jar, vat, a very large clay pot;;sĩmsi;Container;zaoore3;
sĩnkaam;;Nom;;arachide;peanut plant;;;Food;nanguri1;
sĩnma;;Nom;;cinéma;cinema, movie theatre.;;;;;
sĩntogre;;Nom;í;grande cuve en terre cuite servant à stocker l'eau;big clay container for keeping water;;sĩntoaga;Container;;
